"CFU" "Antibiotic" "OD"
"1" 4.2 "streptomycin" "0.5"
"2" 11.5 "streptomycin" "0.5"
"3" 7.3 "streptomycin" "0.5"
"4" 5.8 "streptomycin" "0.5"
"5" 6.4 "streptomycin" "0.5"
"6" 10 "streptomycin" "0.5"
"7" 11.2 "streptomycin" "0.5"
"8" 11.2 "streptomycin" "0.5"
"9" 5.2 "streptomycin" "0.5"
"10" 7 "streptomycin" "0.5"
"11" 16.5 "streptomycin" "1"
"12" 16.5 "streptomycin" "1"
"13" 15.2 "streptomycin" "1"
"14" 17.3 "streptomycin" "1"
"15" 22.5 "streptomycin" "1"
"16" 17.3 "streptomycin" "1"
"17" 13.6 "streptomycin" "1"
"18" 14.5 "streptomycin" "1"
"19" 18.8 "streptomycin" "1"
"20" 15.5 "streptomycin" "1"
"21" 23.6 "streptomycin" "2"
"22" 18.5 "streptomycin" "2"
"23" 33.9 "streptomycin" "2"
"24" 25.5 "streptomycin" "2"
"25" 26.4 "streptomycin" "2"
"26" 32.5 "streptomycin" "2"
"27" 26.7 "streptomycin" "2"
"28" 21.5 "streptomycin" "2"
"29" 23.3 "streptomycin" "2"
"30" 29.5 "streptomycin" "2"
"31" 15.2 "tetracycline" "0.5"
"32" 21.5 "tetracycline" "0.5"
"33" 17.6 "tetracycline" "0.5"
"34" 9.7 "tetracycline" "0.5"
"35" 14.5 "tetracycline" "0.5"
"36" 10 "tetracycline" "0.5"
"37" 8.2 "tetracycline" "0.5"
"38" 9.4 "tetracycline" "0.5"
"39" 16.5 "tetracycline" "0.5"
"40" 9.7 "tetracycline" "0.5"
"41" 19.7 "tetracycline" "1"
"42" 23.3 "tetracycline" "1"
"43" 23.6 "tetracycline" "1"
"44" 26.4 "tetracycline" "1"
"45" 20 "tetracycline" "1"
"46" 25.2 "tetracycline" "1"
"47" 25.8 "tetracycline" "1"
"48" 21.2 "tetracycline" "1"
"49" 14.5 "tetracycline" "1"
"50" 27.3 "tetracycline" "1"
"51" 25.5 "tetracycline" "2"
"52" 26.4 "tetracycline" "2"
"53" 22.4 "tetracycline" "2"
"54" 24.5 "tetracycline" "2"
"55" 24.8 "tetracycline" "2"
"56" 30.9 "tetracycline" "2"
"57" 26.4 "tetracycline" "2"
"58" 27.3 "tetracycline" "2"
"59" 29.4 "tetracycline" "2"
"60" 23 "tetracycline" "2"
