rythme	sexe	fumeur
65	M	non
69	M	non
74	M	non
62	M	non
69	M	non
67	M	non
65	M	non
69	M	non
69	M	non
65	M	non
77	M	non
70	M	non
71	M	non
67	M	non
70	M	non
69	M	non
64	M	non
72	M	non
68	M	non
73	M	non
70	M	non
62	M	non
73	M	non
63	M	non
67	M	non
72	F	non
67	F	non
60	F	non
70	F	non
69	F	non
71	F	non
62	F	non
72	F	non
71	F	non
70	F	non
60	F	non
71	F	non
62	F	non
72	F	non
75	F	non
70	F	non
75	F	non
69	F	non
72	F	non
74	F	non
70	F	non
72	F	non
63	F	non
69	F	non
70	F	non
69	M	oui
76	M	oui
66	M	oui
78	M	oui
66	M	oui
67	M	oui
79	M	oui
73	M	oui
68	M	oui
71	M	oui
78	M	oui
75	M	oui
68	M	oui
71	M	oui
75	M	oui
77	M	oui
81	M	oui
70	M	oui
79	M	oui
73	M	oui
71	M	oui
71	M	oui
76	M	oui
77	M	oui
83	M	oui
84	F	oui
76	F	oui
76	F	oui
78	F	oui
72	F	oui
69	F	oui
79	F	oui
82	F	oui
79	F	oui
77	F	oui
75	F	oui
77	F	oui
80	F	oui
75	F	oui
71	F	oui
70	F	oui
83	F	oui
81	F	oui
76	F	oui
83	F	oui
75	F	oui
74	F	oui
78	F	oui
73	F	oui
69	F	oui
